bamfile,mean_depth,sd_depth,mean_depth_nonzero,mean_depth_within2sd,median,proportion_of_reference_covered
AGAB_01_EKDL210009123-1a-AK19113-AK23731_HTVH3DSX2_L3,1.31452801615805,1.92646142153976,2.0981732718905,1.22288367660161,1,0.626510705178195
AGAB_02_EKDL210009123-1a-AK19007-AK23732_HTVH3DSX2_L3,1.19566442606012,1.84953824624577,1.99126007382583,1.07074519710358,1,0.600456184391327
AGAB_03_EKDL210004790-1a-AK11377-AK16262_HHJYYDSX2_L3,1.31451388682744,1.94448918174615,2.11590935368739,1.21293962583993,1,0.621252457973577
AGAB_04_EKDL210004789-1a-AK11677-AK5989_HHJYYDSX2_L2,1.10841357952708,1.82036793615752,1.94163386060399,0.988290335838666,1,0.570866424415617
AGAB_05_EKDL210004789-1a-AK11659-AK16242_HHJYYDSX2_L2,1.6436595020609,3.00965989115978,2.42831358658553,1.56083892110773,1,0.676872835181046
AGAB_06_EKDL200012859-1a-AK11456-AK16260_HNLVYDSXY_L1,1.43141794363396,2.15402929170196,2.22536100977625,1.30588513737808,1,0.643229542238622
AGAB_08_EKDL210004788-1a-AK11464-AK16277_HHJYYDSX2_L1,2.15693422444241,2.66401890351227,2.91616653842414,2.00416640385436,2,0.739647134696256
AGAB_10_EKDL210004788-1a-GG04-AK5420_HHJYYDSX2_L1,2.18068964183956,2.7550223417474,2.92067028051232,2.04832539807476,2,0.746640131339191
AGAB_11_EKDL210004790-1a-AK11471-AK16271_HHJYYDSX2_L3,1.86853454095565,2.19870049423488,2.63020265140285,1.73131549201811,2,0.710414667082499
AGAB_12_EKDL210009123-1a-AK18642-AK23733_HTVH3DSX2_L3,3.05982821053025,3.70168000498894,3.88041675088113,2.86587552027716,3,0.788530822065682
AGAB_13_EKDL200012859-1a-AK11640-AK16265_HNLVYDSXY_L1,1.05604912034994,1.58913834620705,1.90377219688097,0.955092528050467,1,0.554714015721169
AGAB_14_EKDL200012859-1a-AK12637-AK16268_HNLVYDSXY_L1,1.23469050686429,1.89341689117178,2.0391971790952,1.15300606090079,1,0.605478724432226
AGAB_15_EKDL210004788-1a-AK11416-AK16269_HHJYYDSX2_L1,1.38723089636997,2.0944381253476,2.19671511468941,1.26191812394259,1,0.631502413350635
AGAB_18_EKDL200012859-1a-AK11718-AK16243_HNLVYDSXY_L1,0.831716190217387,1.41219285087794,1.69110846044787,0.721094837974087,0,0.491817177709101
AGAB_19_EKDL210004789-1a-AK11690-AK16231_HHJYYDSX2_L2,1.90339419283031,2.58340726221849,2.67834497548216,1.78583847375534,2,0.710660579669264
AGAB_20_EKDL210005548-1a-AK11178-AK16246_HHJKNDSX2_L4,1.67437615191151,2.33379311290331,2.44811007579913,1.5675468899373,1,0.683946432173789
AGAB_23_EKDL200012859-1a-AK11195-AK16227_HNLVYDSXY_L1,0.958015355750418,1.4969713364947,1.78189606984266,0.814876607216579,1,0.537638177649224
AGAB_24_EKDL210009123-1a-AK19137-AK23734_HTVH3DSX2_L3,1.03415183230786,1.8169074306051,1.88512912495906,0.934525330781224,1,0.548584082976352
BARR_01_EKDL210005548-1a-AK11598-AK16273_HHJKNDSX2_L4,1.51487007345605,2.1368170761879,2.27316398424463,1.38617276559923,1,0.666414778676708
BARR_02_EKDL210004789-1a-AK11506-AK16290_HHJYYDSX2_L2,1.44906251640196,3.07981335414802,2.22016003135775,1.38400537215719,1,0.65268381375002
BARR_03_EKDL200012859-1a-AK11428-AK16253_HNLVYDSXY_L1,0.945955613047972,1.97123233076829,1.78448775352069,0.864995752563446,1,0.530099246229925
BARR_04_EKDL210004790-1a-AK11710-AK16288_HHJYYDSX2_L3,1.00309950363555,2.37682909051177,1.88168129352319,0.945677676804265,1,0.533086823517023
BARR_06_EKDL210005548-1a-AK11456-AK16260_HHJKNDSX2_L4,1.73272149128145,2.29108297077967,2.48366904134062,1.60740755189085,1,0.697645886968205
BARR_07_EKDL210004788-1a-AK11160-AK9453_HHJYYDSX2_L1,1.38860556230921,2.33513302895982,2.17760769842802,1.30989519914994,1,0.63767480401168
BARR_08_EKDL210005548-1a-AK11426-AK5939_HHJKNDSX2_L4,1.90068489483276,2.44556038725018,2.63458730539224,1.75394034793298,2,0.721435532215009
BARR_09_EKDL210004790-1a-AK11677-AK5989_HHJYYDSX2_L3,1.10337810352696,5.6047319220569,2.01529155678712,1.07223770760253,1,0.547502965420086
BARR_10_EKDL210004789-1a-AK11168-AK16259_HHJYYDSX2_L2,0.811930583325402,1.47125998267295,1.69332477963094,0.694692621654056,0,0.479488987046197
BARR_11_EKDL210004789-1a-AK11177-AK16280_HHJYYDSX2_L2,1.8704904416903,2.46628761442711,2.64044179595004,1.7014446509024,1,0.708400558027451
BARR_12_EKDL200012859-1a-AK11460-AK16272_HNLVYDSXY_L1,1.20918528769945,2.32570445035777,2.00324370140568,1.12537294229581,1,0.603613672590653
