DOLV_08_EKDL210009122-1a-AK31151-AK31152_HTVH3DSX2_L3	DOLV	8458212	    1268731800	1002606824	780431337	563516591	563516591	
DOLV_06_EKDL210009122-1a-AK27196-AK31175_HTVH3DSX2_L3	DOLV	8873468	    1331020200	1057773785	819254899	593951285	593951285	
DOLV_11_EKDL210009122-1a-AK31119-AK31120_HTVH3DSX2_L3	DOLV	9171408	    1375711200	1039492849	785564110	493126096	493126096	
Lurida_02_EKDL210004790-1a-AK11600-AK6934_HHJYYDSX2_L3	Lurida	14982922	2247438300	1968366095	234372151	174076284  	174076284
DOLV_20_EKDL210009122-1a-AK19079-AK31150_HTVH3DSX2_L3	DOLV	8490688	    1273603200	1040144171	809968513	614488684	614488684	
BUNN_18_EKDL210007863-1a-AK19007-AK23732_HLNT5DSX2_L2	BUNN	8386552	    1257982800	1062304870	826814872	605706782	605706782	
DOLV_13_EKDL210009122-1a-AK31230-AK31231_HTVH3DSX2_L3	DOLV	8613948	    1292092200	1038189813	800323877	579769779	579769779	
DOLV_10_EKDL210009122-1a-AK31129-AK31130_HTVH3DSX2_L3	DOLV	8507416	    1276112400	1039123382	801619931	590317215	590317215	
BARR_10_EKDL210004789-1a-AK11168-AK16259_HHJYYDSX2_L2	BARR	9276018	    1391402700	1105216364	851773357	697609135	697609135	
HFJO_07_EKDL210004789-1a-AK11593-AK16256_HHJYYDSX2_L2	HFJO	8330602	    1249590300	1051155723	826139607	660565030	660565030	
BOVA_10_EKDL210009123-1a-AK18629-AK15913_HTVH3DSX2_L3	BOVA	9791048	    1468657200	1125048854	866659869	602877906	602877906	
LANG_04_EKDL210005548-1a-AK11661-AK16241_HHJKNDSX2_L4	LANG	8313302	    1246995300	1077072574	846926877	680808386	680808386	
LOGS_03_EKDL210004788-1a-AK11377-AK16262_HHJYYDSX2_L1	LOGS	8639462 	1295919300	1108326965	868344416	635767603	635767603	
LOGS_14_EKDL210007862-1a-AK16185-AK16186_HLNT5DSX2_L2	LOGS	9434504	    1415175600	1143067103	881892564	603587794	603587794	
CORS_04_EKDL210007863-1a-AK18983-AK23742_HLNT5DSX2_L2	CORS	8990768	    1348615200	1167006209	917903453	718994001	718994001	
HYPP_18_EKDL210009122-1a-AK19265-AK31135_HTVH3DSX2_L3	HYPP	9220664	    1383099600	1119159606	863420513	672769654	672769654	
BUNN_06_EKDL210007863-1a-AK19056-AK23721_HLNT5DSX2_L2	BUNN	9092314	    1363847100	1144826327	888964050	660627016	660627016	
